Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Central African Republic,CAF,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.72568,0.74024,0.75847,NA,NA,NA,0.7801,NA,NA,NA
Central African Republic,CAF,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,244035,264970,252222,NA,NA,NA,NA,NA,NA,NA
Central Europe and the Baltics,CEB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Europe and the Baltics,CEB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,98.62449,98.57657,99.46705,98.83572,98.16121,97.48528,96.83118,96.36232,94.95187,94.98712
Central Europe and the Baltics,CEB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9912,0.99304,0.99598,0.99573,0.9963,0.99773,0.99839,0.99779,0.99367,0.99347
Central Europe and the Baltics,CEB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,160742,165109,155687,172337,192673,207711,232060,252049,262743,260320
Chad,TCD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.98194,2.2579,2.20615,2.85071,NA,NA,NA,2.45482,NA,NA
Chad,TCD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,69.10147,75.72748,79.79502,86.31782,87.31285,79.44822,75.46867,67.69158,78.49581,78.04171
Chad,TCD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.73016,0.74618,0.75326,0.7579,0.754,0.76636,0.76868,0.75711,0.77783,0.77824
Chad,TCD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,816390,NA,509010,NA,511634,674855,840265,693571,723879
Channel Islands,CHI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,CHI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,CHI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,CHI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.16209,4.04519,NA,4.52943,4.73095,4.87531,5.34201,5.41946,NA,NA
Chile,CHL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,102.22481,101.71235,101.55767,99.81939,99.34767,99.13218,99.45711,99.94247,100.664,NA
Chile,CHL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97152,0.9683,0.96834,0.96874,0.96944,0.97015,0.97082,0.97158,0.97127,NA
Chile,CHL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,42194,49451,51097,57277,56759,54386,45312,33899,19351,NA
China,CHN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,CHN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,98.04289,98.24032,99.19531,99.43689,95.83343,96.44554,98.22966,99.90993,100.83158,102.56461
China,CHN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98268,0.98486,0.9889,0.99761,1.00072,1.00246,1.00509,1.00948,1.01135,1.01172
China,CHN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.83383,4.46608,4.37039,4.87855,4.62946,4.47039,4.47721,4.53551,4.45749,NA
Colombia,COL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,119.29285,115.65773,113.04351,114.74792,112.65401,113.40598,114.59583,113.11086,112.75912,NA
Colombia,COL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98337,0.96707,0.96788,0.97471,0.9682,0.96946,0.97279,0.96862,0.97025,NA
Colombia,COL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,92389,112318,196206,NA,NA,140666,175096,100446,85793,NA
Comoros,COM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,2.83045,2.74784,2.38276,2.74473,2.54506,NA,NA,NA,NA
Comoros,COM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,98.87806,NA,103.78357,101.1995,NA,NA,97.23629,99.42279,NA
Comoros,COM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,0.84609,NA,0.94202,0.93166,NA,NA,0.95721,0.99835,NA
Comoros,COM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,13563,15345,NA,NA,17935,22667,NA
"Congo, Dem. Rep.",COD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.52498,NA,NA,2.06221,1.95143,2.17044,2.11869,1.45495,NA,NA
"Congo, Dem. Rep.",COD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,93.03693,94.11845,98.84891,101.28365,104.89545,107.57629,NA,NA,114.67573,NA
"Congo, Dem. Rep.",COD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.87039,0.87043,0.88215,0.90629,0.90907,0.99266,NA,NA,0.93854,NA
"Congo, Dem. Rep.",COD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.22079,NA,NA,NA,4.0172,4.56147,NA,5.46505,3.51105,NA
"Congo, Rep.",COG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,106.09829,106.08415,110.50568,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.94572,0.94428,1.07474,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.",COG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,88847,NA,73737,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.63445,6.45535,6.68984,6.84934,6.86952,7.08254,7.09768,7.31572,6.97857,7.04876
Costa Rica,CRI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,115.7286,114.84384,113.77843,111.59637,111.27261,110.97032,112.08994,111.46981,113.80664,116.62112
Costa Rica,CRI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9806,0.98253,0.98492,0.98748,0.99129,0.99426,1.00577,1.01129,1.00888,1.00741
Costa Rica,CRI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,166,246,2078,9974,8005,6189,13846,509,555
Cote d'Ivoire,CIV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.55346,4.13755,4.65411,4.729,4.57743,3.49416,3.97232,3.80348,3.25603,NA
Cote d'Ivoire,CIV,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,72.19464,75.60637,77.56193,80.61577,84.87671,90.62413,93.81539,95.97512,97.23086
Cote d'Ivoire,CIV,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,0.82792,0.84137,0.85789,0.86716,0.88031,0.89618,0.91179,0.92644,0.94057
Cote d'Ivoire,CIV,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,1136993,987969,864920,489791,430570,241575,199358
Croatia,HRV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.24204,4.15011,NA,4.56487,NA,NA,NA,3.91713,NA,NA
Croatia,HRV,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,91.97955,93.39041,96.40122,99.84395,100.78111,100.57915,98.40669,96.53224,94.75321,NA
Croatia,HRV,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00075,0.99694,1.00045,1.00303,0.99586,1,1.0041,1.00124,1.0031,NA
Croatia,HRV,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,9034,4785,1905,2218,1950,1851,2636,2304,2766,NA
Cuba,CUB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,12.83731,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,CUB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.2241,100.28652,99.85049,98.33487,97.4364,96.49493,96.98299,97.77472,99.58639,101.04029
Cuba,CUB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97654,0.97835,0.98132,0.98448,0.9506,0.94312,0.95083,0.94929,0.95668,0.96602
Cuba,CUB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7007,10264,15962,15699,37618,44344,40376,31515,15680,5703
Curacao,CUW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,4.93095,NA,NA,NA,NA,NA,NA
Curacao,CUW,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,NA,157.67288,NA,NA,NA,NA,NA,NA
Curacao,CUW,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,NA,0.96031,NA,NA,NA,NA,NA,NA
Curacao,CUW,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,CYP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.5428,6.53854,NA,6.48378,6.4485,6.34636,6.1638,5.77719,NA,NA
Cyprus,CYP,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.63377,100.79486,100.05692,99.87841,99.58708,99.29021,98.72413,99.36173,99.34234,NA
Cyprus,CYP,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00018,0.99221,0.9977,1.00227,1.00852,0.99981,1.00354,1.00108,0.99115,NA
Cyprus,CYP,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,19,82,710,973,1217,758,961,754,329,NA
Czech Republic,CZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.06446,4.27214,4.25086,4.09089,3.99462,5.78885,5.58738,3.85402,NA,NA
Czech Republic,CZE,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,103.59071,100.47488,99.32076,98.77562,98.67689,99.69926,100.49187,100.95971,100.81886,NA
Czech Republic,CZE,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.996,0.99449,0.99908,1.00067,1.00017,1.00358,1.00552,1.0056,1.00602,NA
Czech Republic,CZE,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,16,3219,2076,5048,3511,1026,1840,1847,2386,NA
Denmark,DNK,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,8.55955,8.48486,7.23782,8.49443,7.63485,NA,NA,7.81608,NA,NA
Denmark,DNK,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.68572,100.47503,100.89399,101.00692,100.70018,100.76162,101.19146,100.93354,100.46653,NA
Denmark,DNK,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00204,0.99409,0.99111,0.98968,0.9886,0.98671,0.98831,0.99359,0.99889,NA
Denmark,DNK,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,4875,4182,2629,1172,2315,275,47,944,2813,NA
Djibouti,DJI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.49022,NA,NA,NA,NA,3.59024,3.92439,3.74856,3.62774,NA
Djibouti,DJI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,69.28321,72.36631,71.78188,72.9942,72.83492,71.88542,71.9182,71.18781,75.11438
Djibouti,DJI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,1.07869,1.07973,1.06331,1.05233,1.07193,1.0673,1.06238,1.02351,0.9957
Djibouti,DJI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,37863,NA,37538,29421,35253,37933,35576,33948,30090
Dominica,DMA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,3.40858,NA,NA,NA,5.57345
Dominica,DMA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.84143,107.99784,112.82782,113.75409,116.39496,115.24678,113.15034,NA,NA,98.70346
Dominica,DMA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98288,0.99417,0.97949,0.98399,1.00503,0.98417,0.97337,NA,NA,0.96776
Dominica,DMA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,88,NA,NA,NA,NA,61,NA,NA,228
Dominican Republic,DOM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,DOM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,103.41371,104.31606,102.4151,103.77348,102.2051,106.21861,105.81693,103.96925,102.47112,109.43024
Dominican Republic,DOM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.88124,0.90545,0.90383,0.90808,0.9066,0.91242,0.92314,0.93251,0.94176,0.95223
Dominican Republic,DOM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,54305,56059,70495,73041,93781,52389,53438,61774,65825,45804
Early-demographic dividend,EAR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Early-demographic dividend,EAR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.93799,106.25407,107.01172,108.97238,107.55848,107.82296,111.20213,109.83993,101.37502,101.33099
Early-demographic dividend,EAR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99647,1.00019,1.00033,1.03033,1.02546,1.02568,1.04224,1.03644,0.98814,0.98817
Early-demographic dividend,EAR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,23721132,24066776,22314635,20035565,19576765,19924428,19423938,19178322,19584120,19680314
East Asia & Pacific,EAS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.639499903,4.125804901,4.577460051,4.526404858,4.714849949,NA,NA,NA,NA,NA
East Asia & Pacific,EAS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.5117,101.92427,102.39311,102.14612,100.15152,100.23131,101.10995,101.73821,101.95658,103.34092
East Asia & Pacific,EAS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9925,0.99456,0.99191,0.99469,0.99481,0.9931,0.99569,0.99693,0.99782,0.99752
East Asia & Pacific,EAS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6504966,6165323,6063459,6385141,6219605,6060627,6231961,5999393,5953998,6208333
East Asia & Pacific (excluding high income),EAP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.076770067,4.60902977,4.865950108,4.53144002,NA,NA,NA,NA,NA,NA
East Asia & Pacific (excluding high income),EAP,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.45744,101.88773,102.43627,102.24686,100.12212,100.27404,101.27043,101.96656,102.18127,103.41218
East Asia & Pacific (excluding high income),EAP,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99179,0.99396,0.9912,0.99424,0.99433,0.9925,0.99529,0.99667,0.99765,0.99723
East Asia & Pacific (excluding high income),EAP,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6157825,5827165,5685627,5996836,5870216,5803268,5927766,5686941,5663798,5927426
East Asia & Pacific (IDA & IBRD countries),TEA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Asia & Pacific (IDA & IBRD countries),TEA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.48876,101.93502,102.50002,102.31916,100.19948,100.36376,101.38017,102.09187,102.31677,103.55719
East Asia & Pacific (IDA & IBRD countries),TEA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99176,0.99397,0.99121,0.99429,0.99438,0.99254,0.99535,0.99674,0.99773,0.9973
East Asia & Pacific (IDA & IBRD countries),TEA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6106183,5758947,5601255,5896965,5726277,5642653,5752094,5496737,5458759,5724946
Ecuador,ECU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.50743,4.72689,4.64307,5.00464,5.26099,4.9987,NA,NA,NA,NA
Ecuador,ECU,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,113.21941,114.36654,112.72615,111.63215,113.06673,107.93711,105.4088,104.16268,104.12743,NA
Ecuador,ECU,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00241,1.00428,1.00785,1.00463,1.00327,1.00462,1.00888,1.01194,1.01642,NA
Ecuador,ECU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,14251,16225,22018,19637,19364,18294,19917,21217,24550,NA
"Egypt, Arab Rep.",EGY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.73978,96.82499,104.06121,104.62894,103.71776,NA,105.43012,106.27984,106.49911,106.85143
"Egypt, Arab Rep.",EGY,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97102,0.95477,0.98676,0.99144,0.99713,NA,1.00067,1.00268,1.00392,1.00809
"Egypt, Arab Rep.",EGY,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,232505,399760,93461,NA,44389,NA,57267,63338,77552,90674
El Salvador,SLV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.04807,3.8985,3.71247,3.80149,3.82416,3.90988,3.82524,3.72523,3.59242,NA
El Salvador,SLV,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,112.25973,111.37353,109.57779,107.03049,103.93379,100.42776,97.77417,94.4722,93.26777,NA
El Salvador,SLV,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.95479,0.95319,0.95209,0.95352,0.95772,0.95835,0.96099,0.96637,0.9683,NA
El Salvador,SLV,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,50020,64815,74263,102738,95746,NA
Equatorial Guinea,GNQ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,GNQ,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,68.9304,67.8272,68.96216,NA,NA,61.58919,NA,NA,NA,NA
Equatorial Guinea,GNQ,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98721,0.9967,0.99481,NA,NA,0.99409,NA,NA,NA,NA
Equatorial Guinea,GNQ,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,67334,68909,70017,NA,NA,83611,NA,NA,NA,NA
Eritrea,ERI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,ERI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,76.91639,78.62071,79.69206,94.32261,73.43309,70.39866,NA,63.19859,63.07898,NA
Eritrea,ERI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.85265,0.84012,0.84254,1.04512,0.85368,0.86172,NA,0.85945,0.85746,NA
Eritrea,ERI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,117798,114587,113594,144901,162329,186394,NA,238210,241988,NA
Estonia,EST,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.47338,4.96992,4.68269,4.81267,5.36708,5.10685,5.17054,4.97338,NA,NA
Estonia,EST,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,102.24125,101.57171,100.82386,99.2785,97.7037,97.14974,97.1917,97.25396,97.7984,NA
Estonia,EST,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98516,0.99728,0.99748,0.99434,0.99398,1.00007,1.00148,1.00048,1.0026,NA
Estonia,EST,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,404,18,34,947,1598,2012,2244,2142,1946,NA
Eswatini,SWZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.11837,6.86433,NA,NA,7.07032,NA,NA,NA,NA,NA
Eswatini,SWZ,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,118.84358,116.92562,117.38054,115.72332,114.84558,113.52822,111.79143,110.34846,110.05198,NA
Eswatini,SWZ,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.90746,0.88533,0.90337,0.9029,0.90716,0.90907,0.91816,0.92021,0.92264,NA
Eswatini,SWZ,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,23434,13336,22581,30229,29136,31776,31985,35890,33794,NA
Ethiopia,ETH,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.49659,5.48576,5.56678,4.49855,4.60202,4.73792,NA,NA,NA,NA
Ethiopia,ETH,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,88.01612,90.36852,90.71758,NA,94.96896,96.0853,NA,NA,NA,NA
Ethiopia,ETH,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.92439,0.92113,0.92815,NA,0.91799,0.90851,NA,NA,NA,NA
Ethiopia,ETH,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,3811908,3293817,3113007,NA,2194044,2306559,NA,NA,NA,NA
Euro area,EMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.541399956,5.31856513,5.461319923,5.376790047,5.281619787,NA,NA,NA,NA,NA
Euro area,EMU,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,102.85994,102.75836,102.49703,102.95793,102.23052,102.28719,102.10309,102.41336,102.39953,102.4511
Euro area,EMU,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99058,0.99228,0.9947,0.99694,0.99722,0.99795,0.99962,0.99558,0.99601,0.99693
Euro area,EMU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,196064,160579,181012,202579,264100,216592,184999,211827,242502,241279
Europe & Central Asia,ECS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.259534836,4.993620157,4.933310032,5.040480137,5.123250008,NA,NA,NA,NA,NA
Europe & Central Asia,ECS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.18562,101.42266,101.42973,102.98183,101.94232,101.22869,101.17104,100.47945,100.61621,100.58048
Europe & Central Asia,ECS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.993,0.99483,0.9956,0.9982,0.99918,0.99924,0.99936,0.99651,0.99536,0.99613
Europe & Central Asia,ECS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,1152455,1099530,1118742,975119,1104627,999914,991113,1002206,1076065,1111526
Europe & Central Asia (excluding high income),ECA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,4.046530008,3.903880119,NA,NA,NA,NA,NA,NA,NA
Europe & Central Asia (excluding high income),ECA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.83124,100.41123,99.9329,102.48982,101.81838,100.18046,100.41262,98.66758,99.36015,99.24105
Europe & Central Asia (excluding high income),ECA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99467,0.99641,0.99509,0.99788,0.99993,0.99953,0.99887,0.99632,0.99399,0.99494
Europe & Central Asia (excluding high income),ECA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,727673,707049,728938,609032,670300,610786,605438,565627,588631,627142
Europe & Central Asia (IDA & IBRD countries),TEC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe & Central Asia (IDA & IBRD countries),TEC,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.37839,99.99802,99.84003,101.91633,101.20486,99.66625,99.75282,98.16853,98.5301,98.44977
Europe & Central Asia (IDA & IBRD countries),TEC,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99405,0.99589,0.99526,0.99762,0.99944,0.99924,0.99878,0.99639,0.99347,0.99427
Europe & Central Asia (IDA & IBRD countries),TEC,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,868911,845888,853100,740037,816418,766306,777955,754180,777820,814324
European Union,EUU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.402890205,5.120269775,4.946400166,5.296815157,5.268799782,NA,NA,NA,NA,NA
European Union,EUU,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,102.25827,102.20126,102.5369,103.32105,101.99248,101.89843,101.59125,101.65608,101.37618,101.42613
European Union,EUU,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99162,0.99356,0.99576,0.99837,0.99859,0.99903,0.99978,0.99662,0.99632,0.99696
European Union,EUU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,419350,388999,392888,375755,448090,409188,414718,470182,527053,523716
Faroe Islands,FRO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe Islands,FRO,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe Islands,FRO,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe Islands,FRO,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
